Description:
The Munsell renotation [Newhall1943, Table I] expresses Munsell colours, when
illuminated by illuminant C, in xyY coordinates.  This file contains an inverse
table, that converts xyY coordinates into Munsell notation.  The xy chromaticity
values in this file were chosen to lie on Cartestian grid points, and the values
of Y were chosen to correspond to integer Munsell values.  Each row of the file
was generated by a call to the routine xyYToMunsell.m, which
has been contributed to ColorLab, an open source set of colour-related routines
for Matlab or Octave.  The file xyYToMunsell.m contains a detailed description of
the inversion algorithm, and a complete discussion appears in [Centore2012].
Those wishing to perform further conversions from Munsell to xyY coordinates
can either use routine xyYToMunsell.m directly, or write an interpolation routine
using the data in this file.  The second method is likely faster, but would not
be any more accurate than the first method.
The data in this file were produced in January 2011, and supersede an earlier version
produced in September 2010.  The
inversion algorithm used here, from [Centore2012] is slightly different from the algorithm
used then.

[Centore2012] Paul Centore, "An Open Source Inversion Algorithm for the Munsell Renotation,"
        Color Research & Application, 2012, to appear.  This paper is currently 
	available at www.99main.com/~centore
[Newhall1943] S. M. Newhall, D. Nickerson, & D. B. Judd, "Final
        Report of the O.S.A. Subcommittee on the Spacing of the Munsell
        Colors," Journal of the Optical Society of America, Vol. 33,
        Issue 7, pp. 385-418, 1943.
DESCRIPTION ENDS HERE
  x	  y	  Y	   H    	 V	   C
0.34	0.12	1.18	2.7400RP	1.0	11.8922
0.34	0.14	1.18	2.8301RP	1.0	 9.6524
0.34	0.16	1.18	2.9811RP	1.0	 7.7872
0.34	0.18	1.18	3.1871RP	1.0	 6.3159
0.34	0.20	1.18	3.4942RP	1.0	 4.9590
0.34	0.22	1.18	3.9353RP	1.0	 3.7364
0.34	0.24	1.18	4.6407RP	1.0	 2.7447
0.34	0.26	1.18	5.8270RP	1.0	 1.8889
0.34	0.28	1.18	8.1257RP	1.0	 1.3891
0.34	0.30	1.18	2.3270R 	1.0	 0.9115
0.34	0.32	1.18	2.0109YR	1.0	 0.5290
0.34	0.34	1.18	2.4361Y 	1.0	 0.4730
0.34	0.36	1.18	9.7580Y 	1.0	 0.8277
0.34	0.38	1.18	2.5938GY	1.0	 1.3842
0.34	0.40	1.18	4.3961GY	1.0	 1.9820
0.34	0.42	1.18	5.0419GY	1.0	 2.2255
0.34	0.44	1.18	5.4447GY	1.0	 2.4702
0.34	0.46	1.18	5.7328GY	1.0	 2.7183
0.34	0.48	1.18	5.9467GY	1.0	 2.9682
0.34	0.50	1.18	6.1115GY	1.0	 3.2194
0.34	0.52	1.18	6.2429GY	1.0	 3.4717
0.34	0.54	1.18	6.3497GY	1.0	 3.7247
0.34	0.56	1.18	6.4389GY	1.0	 3.9785
0.34	0.58	1.18	6.4247GY	1.0	 4.2250
0.34	0.60	1.18	6.4083GY	1.0	 4.4732
0.34	0.62	1.18	6.3956GY	1.0	 4.7229
0.34	0.64	1.18	6.3810GY	1.0	 4.9732
0.36	0.12	1.18	3.9148RP	1.0	12.5091
0.36	0.14	1.18	4.1245RP	1.0	10.2366
0.36	0.16	1.18	4.4488RP	1.0	 8.3753
