Description:
Draft: This file expresses sRGB colours in the Munsell system.  The first
three columns are the R, G, and B components in the sRGB system, varying
from 0 to 255.  The next three columns are the Munsell hue (H), value (V), and
chroma (C).  4096 conversions were attempted.  Some sRGB colours are beyond
the MacAdam limits, meaning that they cannot be produced as surface colours.
Therefore, those colours are not in the Munsell system.  In addition, colours
near the MacAdam limits are difficult to convert to the Munsell system, so
so sometimes the conversion failed.  In all, 3879 of the 4096 sRGB colours were
successfully converted.

[Newhall1943] S. M. Newhall, D. Nickerson, & D. B. Judd, "Final
        Report of the O.S.A. Subcommittee on the Spacing of the Munsell
        Colors," Journal of the Optical Society of America, Vol. 33,
        Issue 7, pp. 385-418, 1943.

DESCRIPTION ENDS HERE
 R	 G	 B	  H	  V	  C
17	136	119	0.02BG	 4.98	 7.19
17	136	136	4.84BG	 5.03	 6.74
17	136	153	9.86BG	 5.09	 6.54
17	136	170	4.55B	 5.15	 7.10
17	136	187	8.33B	 5.23	 8.38
17	136	204	1.13PB	 5.31	 9.99
17	136	221	3.07PB	 5.40	11.68
17	136	238	4.70PB	 5.49	13.45
17	136	255	5.51PB	 5.60	15.07
17	153	0	9.42GY	 5.39	13.41
17	153	17	9.61GY	 5.40	13.06
17	153	34	9.97GY	 5.40	12.49
17	153	51	0.37G	 5.42	11.80
17	153	68	0.97G	 5.43	10.97
17	153	85	1.88G	 5.46	10.13
17	153	102	3.47G	 5.49	 9.32
17	153	119	6.22G	 5.53	 8.44
17	153	136	0.78BG	 5.57	 7.71
17	153	153	5.07BG	 5.62	 7.23
17	153	170	9.69BG	 5.68	 7.09
17	153	187	3.99B	 5.74	 7.55
17	153	204	7.38B	 5.82	 8.74
17	153	221	0.33PB	 5.89	10.28
17	153	238	2.25PB	 5.98	11.82
17	153	255	3.87PB	 6.07	13.40
17	170	0	9.55GY	 5.96	14.63
17	170	17	9.70GY	 5.97	14.31
17	170	34	9.99GY	 5.97	13.81
17	170	51	0.31G	 5.98	13.23
17	170	68	0.79G	 6.00	12.51
17	170	85	1.49G	 6.02	11.67
17	170	102	2.50G	 6.05	10.83
17	170	119	4.19G	 6.08	 9.99
17	170	136	7.13G	 6.12	 9.14
17	170	153	1.46BG	 6.16	 8.37
17	170	170	5.41BG	 6.21	 7.87
17	170	187	9.59BG	 6.27	 7.75
17	170	204	3.53B	 6.33	 8.09
17	170	221	6.68B	 6.40	 9.07
17	170	238	9.52B	 6.48	10.36
17	170	255	1.52PB	 6.56	11.73
17	187	0	9.63GY	 6.53	15.69
17	187	17	9.75GY	 6.53	15.43
17	187	34	9.97GY	 6.54	14.97
17	187	51	0.27G	 6.55	14.44
17	187	68	0.68G	 6.56	13.77
17	187	85	1.23G	 6.58	12.94
17	187	102	1.98G	 6.60	12.06
17	187	119	3.16G	 6.63	11.26
17	187	136	4.73G	 6.67	10.41
17	187	153	7.96G	 6.71	 9.64
17	187	170	2.06BG	 6.75	 8.96
17	187	187	5.72BG	 6.80	 8.53
17	187	204	9.51BG	 6.86	 8.42
17	187	221	3.15B	 6.92	 8.70
17	187	238	6.06B	 6.99	 9.42
17	187	255	8.82B	 7.06	10.47
17	204	0	9.72GY	 7.09	16.88
17	204	17	9.82GY	 7.10	16.63
17	204	34	10.00G	 7.10	16.21
17	204	51	0.26G	 7.11	15.79
17	204	68	0.63G	 7.12	15.22
17	204	85	1.12G	 7.14	14.50
17	204	102	1.72G	 7.16	13.58
17	204	119	2.48G	 7.18	12.54
17	204	136	3.73G	 7.21	11.73
17	204	153	5.38G	 7.25	10.87
17	204	170	8.74G	 7.29	10.13
17	204	187	2.58BG	 7.34	 9.49
17	204	204	5.98BG	 7.39	 9.05
17	204	221	9.53BG	 7.44	 8.88
17	204	238	2.89B	 7.50	 9.00
17	204	255	5.43B	 7.57	 9.50
17	221	0	9.79GY	 7.65	17.75
17	221	17	9.86GY	 7.66	17.54
17	221	34	0.01G	 7.66	17.17
17	221	51	0.23G	 7.67	16.80
17	221	68	0.55G	 7.68	16.28
17	221	85	0.96G	 7.69	15.62
17	221	102	1.48G	 7.71	14.83
17	221	119	2.12G	 7.73	13.94
17	221	136	3.00G	 7.76	12.96
17	221	153	4.20G	 7.79	12.09
17	221	170	6.19G	 7.83	11.26
17	221	187	9.39G	 7.87	10.61
17	221	204	3.01BG	 7.92	10.03
17	221	221	6.23BG	 7.97	 9.58
17	221	238	9.64BG	 8.02	 9.31
17	221	255	2.74B	 8.08	 9.30
17	238	0	9.85GY	 8.21	18.58
17	238	17	9.92GY	 8.21	18.39
17	238	34	0.04G	 8.21	18.09
17	238	51	0.22G	 8.22	17.73
17	238	68	0.48G	 8.23	17.23
17	238	85	0.83G	 8.24	16.60
17	238	102	1.28G	 8.26	15.86
17	238	119	1.82G	 8.28	15.01
17	238	136	2.49G	 8.31	14.10
17	238	153	3.47G	 8.33	13.24
17	238	170	4.61G	 8.37	12.29
17	238	187	6.91G	 8.40	11.47
17	238	204	9.94G	 8.44	10.85
17	238	221	3.37BG	 8.49	10.23
17	238	238	6.45BG	 8.54	 9.75
17	238	255	9.69BG	 8.59	 9.38
17	255	0	9.88GY	 8.75	19.32
17	255	17	9.94GY	 8.76	19.14
17	255	34	0.04G	 8.76	18.85
17	255	51	0.19G	 8.77	18.45
17	255	68	0.41G	 8.77	17.91
17	255	85	0.70G	 8.79	17.29
17	255	102	1.08G	 8.80	16.58
17	255	119	1.56G	 8.82	15.81
17	255	136	2.16G	 8.84	14.98
17	255	153	2.93G	 8.87	14.21
17	255	170	3.88G	 8.90	13.36
17	255	187	4.97G	 8.93	12.39
17	255	204	7.59G	 8.97	11.61
17	255	221	0.47BG	 9.01	11.07
17	255	238	3.67BG	 9.05	10.84
17	255	255	6.56BG	 9.10	10.88
34	0	102	7.88PB	 1.09	13.16
34	0	119	7.41PB	 1.33	14.61
34	17	85	8.56PB	 1.15	 9.12
34	17	102	7.84PB	 1.35	11.11
34	17	119	7.44PB	 1.55	13.13
34	34	0	1.03GY	 1.21	 3.08
34	34	17	1.46GY	 1.24	 2.16
34	34	34	6.34GY	 1.28	 0.37
34	34	51	7.14PB	 1.36	 1.75
34	34	68	7.62PB	 1.46	 4.13
34	34	85	7.60PB	 1.59	 6.48
34	34	102	7.49PB	 1.74	 8.80
34	34	119	7.39PB	 1.90	11.19
34	34	136	7.30PB	 2.08	13.43
34	34	153	7.20PB	 2.27	15.25
34	51	0	5.17GY	 1.86	 4.99
34	51	17	6.20GY	 1.88	 4.23
34	51	34	8.90GY	 1.91	 3.15
34	51	51	2.27BG	 1.96	 2.17
34	51	68	9.52B	 2.03	 2.60
34	51	85	4.88PB	 2.12	 4.51
34	51	102	6.19PB	 2.23	 6.60
34	51	119	6.71PB	 2.36	 8.71
34	51	136	6.92PB	 2.50	10.85
34	51	153	7.02PB	 2.65	13.01
34	51	170	7.06PB	 2.81	15.05
34	51	187	7.10PB	 2.98	17.15
34	51	204	7.10PB	 3.15	19.21
34	51	221	7.10PB	 3.33	21.07
34	68	0	6.78GY	 2.49	 6.73
34	68	17	7.49GY	 2.50	 6.11
34	68	34	9.19GY	 2.53	 5.16
34	68	51	2.57G	 2.56	 4.03
34	68	68	3.26BG	 2.61	 3.15
34	68	85	4.87B	 2.68	 3.19
34	68	102	1.63PB	 2.76	 4.66
34	68	119	4.82PB	 2.86	 6.64
34	68	136	5.90PB	 2.97	 8.89
34	68	153	6.43PB	 3.09	11.00
34	68	170	6.71PB	 3.22	13.07
34	68	187	6.86PB	 3.36	15.06
34	68	204	6.95PB	 3.51	17.09
34	68	221	7.02PB	 3.67	19.09
34	68	238	7.08PB	 3.83	21.12
34	68	255	7.12PB	 4.00	23.31
34	85	0	7.71GY	 3.10	 8.34
34	85	17	8.33GY	 3.11	 7.79
34	85	34	9.42GY	 3.13	 6.88
34	85	51	1.21G	 3.15	 5.80
34	85	68	5.31G	 3.19	 4.67
34	85	85	3.81BG	 3.24	 3.89
34	85	102	2.48B	 3.31	 3.84
34	85	119	9.18B	 3.38	 5.10
34	85	136	2.81PB	 3.47	 6.92
34	85	153	5.05PB	 3.57	 8.97
34	85	170	5.84PB	 3.68	11.14
34	85	187	6.33PB	 3.79	13.33
34	85	204	6.63PB	 3.92	15.46
34	85	221	6.82PB	 4.06	17.45
34	85	238	6.94PB	 4.20	19.11
34	85	255	7.02PB	 4.35	20.90
34	102	0	8.25GY	 3.69	 9.42
34	102	17	8.68GY	 3.70	 8.95
34	102	34	9.52GY	 3.71	 8.19
34	102	51	0.72G	 3.73	 7.28
34	102	68	2.37G	 3.77	 6.20
34	102	85	7.24G	 3.81	 5.30
34	102	102	4.17BG	 3.86	 4.71
34	102	119	1.37B	 3.92	 4.71
34	102	136	7.24B	 3.99	 5.82
34	102	153	1.30PB	 4.07	 7.47
34	102	170	3.72PB	 4.16	 9.39
34	102	187	5.25PB	 4.26	11.43
34	102	204	5.91PB	 4.37	13.43
34	102	221	6.33PB	 4.48	15.35
34	102	238	6.61PB	 4.61	17.19
34	102	255	6.80PB	 4.74	18.94
34	119	0	8.67GY	 4.27	10.61
34	119	17	9.00GY	 4.28	10.20
34	119	34	9.60GY	 4.29	 9.52
34	119	51	0.46G	 4.31	 8.69
34	119	68	1.58G	 4.33	 7.76
34	119	85	3.75G	 4.36	 6.80
34	119	102	8.63G	 4.41	 6.00
34	119	119	4.49BG	 4.46	 5.50
34	119	136	0.53B	 4.52	 5.44
34	119	153	5.89B	 4.58	 6.27
34	119	170	0.01PB	 4.66	 7.75
34	119	187	2.44PB	 4.75	 9.58
34	119	204	4.40PB	 4.84	11.56
34	119	221	5.47PB	 4.94	13.55
34	119	238	6.01PB	 5.05	15.40
34	119	255	6.38PB	 5.17	17.07
34	136	0	8.98GY	 4.85	11.89
34	136	17	9.22GY	 4.85	11.54
34	136	34	9.67GY	 4.86	10.95
34	136	51	0.30G	 4.87	10.21
34	136	68	1.08G	 4.90	 9.32
34	136	85	2.31G	 4.92	 8.42
34	136	102	4.81G	 4.96	 7.55
34	136	119	9.71G	 5.00	 6.87
34	136	136	4.82BG	 5.05	 6.41
34	136	153	0.02B	 5.11	 6.22
34	136	170	4.87B	 5.18	 6.85
34	136	187	8.77B	 5.25	 8.20
34	136	204	1.44PB	 5.33	 9.85
34	136	221	3.38PB	 5.42	11.58
34	136	238	4.97PB	 5.52	13.35
34	136	255	5.63PB	 5.62	15.00
34	153	0	9.19GY	 5.41	13.15
34	153	17	9.38GY	 5.42	12.81
34	153	34	9.74GY	 5.43	12.25
34	153	51	0.21G	 5.44	11.53
34	153	68	0.80G	 5.46	10.70
34	153	85	1.69G	 5.48	 9.83
34	153	102	3.21G	 5.51	 9.01
34	153	119	5.89G	 5.55	 8.13
34	153	136	0.57BG	 5.59	 7.42
34	153	153	5.05BG	 5.64	 6.94
34	153	170	9.81BG	 5.70	 6.82
34	153	187	4.22B	 5.76	 7.34
34	153	204	7.68B	 5.84	 8.58
34	153	221	0.58PB	 5.91	10.17
34	153	238	2.47PB	 6.00	11.72
34	153	255	4.10PB	 6.09	13.31
34	170	0	9.38GY	 5.98	14.42
34	170	17	9.53GY	 5.98	14.10
34	170	34	9.81GY	 5.99	13.62
34	170	51	0.18G	 6.00	13.00
34	170	68	0.66G	 6.02	12.27
34	170	85	1.34G	 6.04	11.39
34	170	102	2.34G	 6.07	10.52
34	170	119	4.01G	 6.10	 9.70
34	170	136	6.88G	 6.14	 8.86
34	170	153	1.31BG	 6.18	 8.10
34	170	170	5.38BG	 6.23	 7.61
34	170	187	9.68BG	 6.29	 7.51
34	170	204	3.72B	 6.35	 7.89
34	170	221	6.93B	 6.42	 8.91
34	170	238	9.75B	 6.50	10.24
34	170	255	1.70PB	 6.58	11.63
34	187	0	9.50GY	 6.55	15.51
34	187	17	9.61GY	 6.55	15.25
34	187	34	9.83GY	 6.55	14.79
34	187	51	0.16G	 6.56	14.21
34	187	68	0.56G	 6.58	13.54
34	187	85	1.10G	 6.60	12.71
34	187	102	1.85G	 6.62	11.82
34	187	119	3.01G	 6.65	11.02
34	187	136	4.61G	 6.68	10.19
34	187	153	7.75G	 6.72	 9.41
34	187	170	1.94BG	 6.77	 8.74
34	187	187	5.71BG	 6.82	 8.31
34	187	204	9.58BG	 6.87	 8.21
34	187	221	3.28B	 6.94	 8.53
34	187	238	6.27B	 7.00	 9.29
34	187	255	9.01B	 7.08	10.35
34	204	0	9.61GY	 7.11	16.71
34	204	17	9.71GY	 7.11	16.47
34	204	34	9.89GY	 7.12	16.04
34	204	51	0.16G	 7.12	15.56
34	204	68	0.53G	 7.14	15.00
34	204	85	1.03G	 7.15	14.29
34	204	102	1.61G	 7.17	13.35
34	204	119	2.37G	 7.20	12.33
34	204	136	3.61G	 7.23	11.52
