Description:
Draft: This file expresses Munsell colours in the sRGB system.  The first
three columns are the Munsell hue (H), value (V), and chroma (C).  An entry
of -99 in the chroma column indicates that the colour is an achromatic grey.  The next
three columns are the R, G, and B coordinates in the sRGB system.  The final
column lists whether the Munsell colour is in the sRGB gamut, or out of it.
1221 of the 2745 Munsell colours are outside the sRGB gamut, meaning that they
cannot be reproduced in the sRGB system. The 2745 Munsell colours were taken
from the Munsell renotation (Newhall1943).

[Newhall1943] S. M. Newhall, D. Nickerson, & D. B. Judd, "Final
        Report of the O.S.A. Subcommittee on the Spacing of the Munsell
        Colors," Journal of the Optical Society of America, Vol. 33,
        Issue 7, pp. 385-418, 1943.

DESCRIPTION ENDS HERE
  H	V	C	 R	 G	 B	Gamut
5.0GY	7	4	171	178	133	 In
5.0GY	7	6	167	181	110	 In
5.0GY	7	8	164	183	83	 In
5.0GY	7	10	160	185	48	 In
5.0GY	7	12	156	186	0	 Out
5.0GY	7	14	153	187	0	 Out
5.0GY	7	16	151	188	0	 Out
7.5GY	7	2	169	177	160	 In
7.5GY	7	4	161	180	142	 In
7.5GY	7	6	153	183	122	 In
7.5GY	7	8	144	187	101	 In
7.5GY	7	10	135	189	77	 In
7.5GY	7	12	125	192	46	 In
7.5GY	7	14	115	194	0	 Out
7.5GY	7	16	106	196	0	 Out
7.5GY	7	18	99	197	0	 Out
10.0GY	7	2	164	177	165	 In
10.0GY	7	4	153	182	149	 In
10.0GY	7	6	141	185	135	 In
10.0GY	7	8	127	189	119	 In
10.0GY	7	10	111	192	102	 In
10.0GY	7	12	92	196	83	 In
10.0GY	7	14	68	199	63	 In
10.0GY	7	16	21	201	35	 In
10.0GY	7	18	0	204	0	 Out
10.0GY	7	20	0	206	0	 Out
10.0GY	7	22	0	208	0	 Out
2.5G	7	2	161	178	169	 In
2.5G	7	4	144	183	159	 In
2.5G	7	6	128	187	149	 In
2.5G	7	8	107	191	138	 In
2.5G	7	10	80	195	128	 In
2.5G	7	12	32	198	118	 In
2.5G	7	14	0	202	109	 Out
2.5G	7	16	0	205	100	 Out
2.5G	7	18	0	207	91	 Out
2.5G	7	20	0	210	82	 Out
2.5G	7	22	0	212	73	 Out
2.5G	7	24	0	214	66	 Out
2.5G	7	26	0	217	57	 Out
5.0G	7	2	158	178	173	 In
5.0G	7	4	139	183	166	 In
5.0G	7	6	119	188	160	 In
5.0G	7	8	93	192	154	 In
5.0G	7	10	51	196	148	 In
5.0G	7	12	0	199	143	 Out
5.0G	7	14	0	203	138	 Out
5.0G	7	16	0	206	135	 Out
5.0G	7	18	0	209	132	 Out
5.0G	7	20	0	211	129	 Out
5.0G	7	22	0	214	126	 Out
5.0G	7	24	0	216	124	 Out
5.0G	7	26	0	217	123	 Out
7.5G	7	2	157	178	175	 In
7.5G	7	4	137	183	170	 In
7.5G	7	6	115	188	166	 In
7.5G	7	8	85	192	162	 In
7.5G	7	10	26	196	158	 In
7.5G	7	12	0	200	155	 Out
7.5G	7	14	0	203	152	 Out
7.5G	7	16	0	206	150	 Out
7.5G	7	18	0	209	148	 Out
7.5G	7	20	0	212	146	 Out
7.5G	7	22	0	214	145	 Out
7.5G	7	24	0	216	144	 Out
7.5G	7	26	0	217	143	 Out
10.0G	7	2	156	178	178	 In
10.0G	7	4	135	183	175	 In
10.0G	7	6	110	188	172	 In
10.0G	7	8	77	192	170	 In
10.0G	7	10	0	196	168	 Out
10.0G	7	12	0	200	167	 Out
10.0G	7	14	0	203	166	 Out
10.0G	7	16	0	206	165	 Out
10.0G	7	18	0	209	164	 Out
10.0G	7	20	0	212	163	 Out
10.0G	7	22	0	214	162	 Out
10.0G	7	24	0	216	162	 Out
2.5BG	7	2	156	178	180	 In
2.5BG	7	4	133	183	179	 In
2.5BG	7	6	108	188	178	 In
2.5BG	7	8	69	192	178	 In
2.5BG	7	10	0	196	179	 Out
2.5BG	7	12	0	200	179	 Out
2.5BG	7	14	0	203	180	 Out
2.5BG	7	16	0	206	181	 Out
2.5BG	7	18	0	209	181	 Out
2.5BG	7	20	0	211	182	 Out
2.5BG	7	22	0	214	183	 Out
5.0BG	7	2	155	178	183	 In
5.0BG	7	4	131	183	185	 In
5.0BG	7	6	105	187	186	 In
5.0BG	7	8	60	192	189	 In
5.0BG	7	10	0	196	191	 Out
5.0BG	7	12	0	199	194	 Out
5.0BG	7	14	0	203	196	 Out
5.0BG	7	16	0	206	199	 Out
5.0BG	7	18	0	209	202	 Out
5.0BG	7	20	0	211	204	 Out
7.5BG	7	2	155	178	185	 In
7.5BG	7	4	130	183	190	 In
7.5BG	7	6	103	187	194	 In
7.5BG	7	8	55	191	198	 In
7.5BG	7	10	0	195	203	 Out
7.5BG	7	12	0	199	208	 Out
7.5BG	7	14	0	202	212	 Out
7.5BG	7	16	0	205	217	 Out
7.5BG	7	18	0	208	221	 Out
10.0BG	7	2	156	177	188	 In
10.0BG	7	4	131	182	195	 In
10.0BG	7	6	103	186	201	 In
10.0BG	7	8	52	190	209	 In
10.0BG	7	10	0	194	216	 Out
10.0BG	7	12	0	198	223	 Out
10.0BG	7	14	0	201	230	 Out
10.0BG	7	16	0	205	238	 Out
2.5B	7	2	158	177	190	 In
2.5B	7	4	133	181	199	 In
2.5B	7	6	105	185	208	 In
2.5B	7	8	58	189	217	 In
2.5B	7	10	0	193	227	 Out
2.5B	7	12	0	196	238	 Out
2.5B	7	14	0	199	247	 Out
2.5B	7	16	0	203	255	 Out
5.0B	7	2	160	176	191	 In
5.0B	7	4	138	180	203	 In
5.0B	7	6	111	183	214	 In
5.0B	7	8	72	187	226	 In
5.0B	7	10	0	190	240	 Out
5.0B	7	12	0	193	254	 Out
5.0B	7	14	0	196	255	 Out
7.5B	7	2	163	175	192	 In
7.5B	7	4	143	179	205	 In
7.5B	7	6	120	181	218	 In
7.5B	7	8	88	184	232	 In
7.5B	7	10	0	187	247	 Out
7.5B	7	12	0	190	255	 Out
10.0B	7	2	166	174	193	 In
10.0B	7	4	149	177	206	 In
10.0B	7	6	130	179	220	 In
10.0B	7	8	106	181	235	 In
10.0B	7	10	67	183	252	 In
10.0B	7	12	0	186	255	 Out
2.5PB	7	2	169	173	193	 In
2.5PB	7	4	157	175	208	 In
2.5PB	7	6	142	176	222	 In
2.5PB	7	8	125	178	238	 In
2.5PB	7	10	100	179	255	 In
5.0PB	7	2	172	172	193	 In
5.0PB	7	4	163	173	208	 In
5.0PB	7	6	152	174	223	 In
5.0PB	7	8	141	174	239	 In
5.0PB	7	10	124	175	255	 Out
7.5PB	7	2	175	171	193	 In
7.5PB	7	4	171	171	208	 In
7.5PB	7	6	166	170	223	 In
7.5PB	7	8	160	169	240	 In
7.5PB	7	10	155	168	255	 Out
10.0PB	7	2	177	171	193	 In
10.0PB	7	4	176	169	207	 In
10.0PB	7	6	176	167	221	 In
10.0PB	7	8	176	165	236	 In
10.0PB	7	10	175	163	252	 In
10.0PB	7	12	175	159	255	 Out
2.5P	7	2	180	170	192	 In
2.5P	7	4	182	168	205	 In
2.5P	7	6	185	165	218	 In
2.5P	7	8	188	162	231	 In
2.5P	7	10	192	158	245	 In
2.5P	7	12	196	154	255	 Out
5.0P	7	2	182	170	191	 In
5.0P	7	4	187	166	203	 In
5.0P	7	6	192	163	214	 In
5.0P	7	8	197	159	226	 In
5.0P	7	10	203	155	238	 In
5.0P	7	12	209	150	250	 In
5.0P	7	14	215	145	255	 Out
7.5P	7	2	185	169	188	 In
7.5P	7	4	193	165	197	 In
7.5P	7	6	202	160	206	 In
7.5P	7	8	210	155	216	 In
7.5P	7	10	219	150	225	 In
7.5P	7	12	227	144	234	 In
7.5P	7	14	235	137	244	 In
7.5P	7	16	244	130	253	 In
7.5P	7	18	252	121	255	 Out
10.0P	7	2	187	168	187	 In
10.0P	7	4	197	164	193	 In
10.0P	7	6	208	159	200	 In
10.0P	7	8	219	153	208	 In
10.0P	7	10	229	147	215	 In
10.0P	7	12	238	140	222	 In
10.0P	7	14	247	133	230	 In
10.0P	7	16	255	123	238	 Out
10.0P	7	18	255	113	246	 Out
10.0P	7	20	255	101	253	 Out
10.0P	7	22	255	85	255	 Out
2.5RP	7	2	188	168	185	 In
2.5RP	7	4	201	163	189	 In
2.5RP	7	6	214	157	194	 In
2.5RP	7	8	226	151	198	 In
2.5RP	7	10	237	144	203	 In
2.5RP	7	12	248	136	208	 In
2.5RP	7	14	255	128	213	 Out
2.5RP	7	16	255	117	219	 Out
2.5RP	7	18	255	104	225	 Out
2.5RP	7	20	255	88	231	 Out
5.0RP	7	2	190	168	182	 In
5.0RP	7	4	204	163	183	 In
5.0RP	7	6	219	156	185	 In
5.0RP	7	8	232	149	186	 In
5.0RP	7	10	244	142	188	 In
5.0RP	7	12	255	133	190	 Out
5.0RP	7	14	255	123	192	 Out
5.0RP	7	16	255	111	195	 Out
5.0RP	7	18	255	97	198	 Out
7.5RP	7	2	191	168	180	 In
7.5RP	7	4	206	162	179	 In
7.5RP	7	6	221	155	178	 In
7.5RP	7	8	235	148	178	 In
7.5RP	7	10	248	141	177	 In
7.5RP	7	12	255	131	177	 Out
7.5RP	7	14	255	121	177	 Out
7.5RP	7	16	255	108	178	 Out
10.0RP	8	2	217	194	206	 In
10.0RP	8	4	235	188	202	 In
10.0RP	8	6	252	181	198	 In
10.0RP	8	8	255	173	194	 Out
10.0RP	8	10	255	165	191	 Out
2.5R	8	2	218	194	205	 In
2.5R	8	4	237	188	198	 In
2.5R	8	6	254	181	192	 In
2.5R	8	8	255	173	185	 Out
2.5R	8	10	255	165	179	 Out
5.0R	8	2	218	194	203	 In
5.0R	8	4	239	188	194	 In
5.0R	8	6	255	181	185	 In
5.0R	8	8	255	173	176	 Out
5.0R	8	10	255	165	167	 Out
7.5R	8	2	219	194	201	 In
7.5R	8	4	240	188	189	 In
7.5R	8	6	255	181	177	 Out
7.5R	8	8	255	174	164	 Out
7.5R	8	10	255	166	153	 Out
10.0R	8	2	220	194	199	 In
10.0R	8	4	241	188	183	 In
10.0R	8	6	255	182	168	 Out
10.0R	8	8	255	176	152	 Out
10.0R	8	10	255	169	137	 Out
2.5YR	8	2	221	194	195	 In
2.5YR	8	4	240	189	176	 In
2.5YR	8	6	255	184	159	 In
2.5YR	8	8	255	178	141	 Out
2.5YR	8	10	255	173	122	 Out
2.5YR	8	12	255	167	101	 Out
5.0YR	8	2	221	194	191	 In
5.0YR	8	4	238	190	171	 In
5.0YR	8	6	251	186	151	 In
5.0YR	8	8	255	182	129	 Out
5.0YR	8	10	255	178	108	 Out
5.0YR	8	12	255	174	83	 Out
5.0YR	8	14	255	170	53	 Out
7.5YR	8	2	221	195	187	 In
7.5YR	8	4	235	192	166	 In
7.5YR	8	6	247	188	144	 In
7.5YR	8	8	255	185	120	 Out
7.5YR	8	10	255	182	96	 Out
7.5YR	8	12	255	180	67	 Out
7.5YR	8	14	255	177	24	 Out
7.5YR	8	16	255	175	0	 Out
7.5YR	8	18	255	174	0	 Out
7.5YR	8	20	255	173	0	 Out
10.0YR	8	2	219	196	184	 In
10.0YR	8	4	230	194	160	 In
10.0YR	8	6	241	192	136	 In
10.0YR	8	8	250	189	111	 In
10.0YR	8	10	255	187	84	 Out
10.0YR	8	12	255	185	51	 Out
10.0YR	8	14	255	184	0	 Out
10.0YR	8	16	255	182	0	 Out
10.0YR	8	18	255	182	0	 Out
10.0YR	8	20	255	181	0	 Out
2.5Y	8	2	216	197	181	 In
2.5Y	8	4	225	196	156	 In
2.5Y	8	6	234	195	130	 In
2.5Y	8	8	241	193	104	 In
2.5Y	8	10	247	192	74	 In
2.5Y	8	12	252	191	30	 In
2.5Y	8	14	255	190	0	 Out
2.5Y	8	16	255	189	0	 Out
2.5Y	8	18	255	188	0	 Out
2.5Y	8	20	255	188	0	 Out
5.0Y	8	2	213	198	179	 In
5.0Y	8	4	219	198	153	 In
5.0Y	8	6	225	198	125	 In
5.0Y	8	8	231	198	96	 In
5.0Y	8	10	235	197	63	 In
5.0Y	8	12	238	197	0	 Out
5.0Y	8	14	241	196	0	 Out
5.0Y	8	16	242	196	0	 Out
5.0Y	8	18	243	196	0	 Out
7.5Y	8	2	211	199	178	 In
7.5Y	8	4	215	200	152	 In
7.5Y	8	6	219	200	124	 In
7.5Y	8	8	222	200	93	 In
7.5Y	8	10	225	201	58	 In
7.5Y	8	12	228	201	0	 Out
7.5Y	8	14	229	201	0	 Out
7.5Y	8	16	230	200	0	 Out
7.5Y	8	18	231	200	0	 Out
10.0Y	8	2	208	200	178	 In
10.0Y	8	4	211	201	152	 In
10.0Y	8	6	213	202	123	 In
10.0Y	8	8	215	203	93	 In
10.0Y	8	10	216	204	57	 In
10.0Y	8	12	217	204	0	 Out
10.0Y	8	14	218	204	0	 Out
10.0Y	8	16	218	205	0	 Out
10.0Y	8	18	218	205	0	 Out
2.5GY	8	2	205	201	179	 In
2.5GY	8	4	205	203	154	 In
2.5GY	8	6	204	205	127	 In
2.5GY	8	8	203	206	99	 In
2.5GY	8	10	203	208	62	 In
2.5GY	8	12	202	209	0	 Out
2.5GY	8	14	201	209	0	 Out
2.5GY	8	16	201	210	0	 Out
2.5GY	8	18	201	210	0	 Out
5.0GY	8	2	202	202	181	 In
5.0GY	8	4	199	204	157	 In
5.0GY	8	6	196	207	132	 In
5.0GY	8	8	192	209	107	 In
5.0GY	8	10	188	211	76	 In
5.0GY	8	12	184	213	25	 In
5.0GY	8	14	181	215	0	 Out
5.0GY	8	16	178	216	0	 Out
5.0GY	8	18	176	216	0	 Out
5.0GY	8	20	176	217	0	 Out
7.5GY	8	2	196	203	186	 In
7.5GY	8	4	187	207	166	 In
7.5GY	8	6	179	210	145	 In
7.5GY	8	8	171	213	124	 In
7.5GY	8	10	162	216	101	 In
7.5GY	8	12	152	219	72	 In
7.5GY	8	14	142	222	26	 In
7.5GY	8	16	133	224	0	 Out
7.5GY	8	18	125	225	0	 Out
7.5GY	8	20	119	226	0	 Out
10.0GY	8	2	191	204	190	 In
10.0GY	8	4	179	208	174	 In
10.0GY	8	6	166	213	158	 In
10.0GY	8	8	153	216	143	 In
10.0GY	8	10	137	220	125	 In
10.0GY	8	12	120	223	106	 In
10.0GY	8	14	99	226	87	 In
10.0GY	8	16	71	229	64	 In
10.0GY	8	18	12	232	28	 In
10.0GY	8	20	0	235	0	 Out
10.0GY	8	22	0	237	0	 Out
10.0GY	8	24	0	239	0	 Out
2.5G	8	2	186	205	195	 In
2.5G	8	4	170	210	184	 In
2.5G	8	6	151	215	173	 In
2.5G	8	8	132	218	162	 In
2.5G	8	10	109	222	152	 In
2.5G	8	12	74	226	141	 In
2.5G	8	14	0	229	131	 Out
2.5G	8	16	0	233	120	 Out
2.5G	8	18	0	236	110	 Out
2.5G	8	20	0	239	100	 Out
2.5G	8	22	0	241	91	 Out
2.5G	8	24	0	243	82	 Out
5.0G	8	2	184	205	199	 In
5.0G	8	4	165	210	192	 In
5.0G	8	6	142	215	184	 In
5.0G	8	8	117	220	178	 In
5.0G	8	10	83	224	172	 In
5.0G	8	12	0	228	167	 Out
5.0G	8	14	0	231	162	 Out
5.0G	8	16	0	234	158	 Out
5.0G	8	18	0	237	154	 Out
5.0G	8	20	0	240	151	 Out
5.0G	8	22	0	243	148	 Out
7.5G	8	2	183	205	202	 In
7.5G	8	4	162	210	197	 In
7.5G	8	6	137	215	192	 In
7.5G	8	8	110	220	188	 In
7.5G	8	10	70	224	183	 In
7.5G	8	12	0	228	180	 Out
7.5G	8	14	0	231	177	 Out
7.5G	8	16	0	235	174	 Out
7.5G	8	18	0	238	171	 Out
7.5G	8	20	0	240	169	 Out
10.0G	8	2	182	205	205	 In
10.0G	8	4	160	210	201	 In
10.0G	8	6	134	215	199	 In
10.0G	8	8	104	220	196	 In
10.0G	8	10	56	224	194	 In
10.0G	8	12	0	228	192	 Out
10.0G	8	14	0	231	191	 Out
10.0G	8	16	0	235	189	 Out
10.0G	8	18	0	238	188	 Out
10.0G	8	20	0	241	187	 Out
2.5BG	8	2	181	205	207	 In
2.5BG	8	4	158	210	205	 In
2.5BG	8	6	131	215	205	 In
2.5BG	8	8	98	220	204	 In
2.5BG	8	10	36	224	204	 In
2.5BG	8	12	0	228	204	 Out
2.5BG	8	14	0	231	205	 Out
2.5BG	8	16	0	234	205	 Out
2.5BG	8	18	0	238	206	 Out
5.0BG	8	2	181	205	210	 In
5.0BG	8	4	157	210	211	 In
5.0BG	8	6	129	215	213	 In
5.0BG	8	8	89	219	215	 In
5.0BG	8	10	0	224	217	 Out
5.0BG	8	12	0	228	219	 Out
5.0BG	8	14	0	231	221	 Out
5.0BG	8	16	0	234	223	 Out
7.5BG	8	2	181	204	213	 In
7.5BG	8	4	157	209	216	 In
7.5BG	8	6	125	214	221	 In
7.5BG	8	8	84	219	226	 In
7.5BG	8	10	0	223	230	 Out
7.5BG	8	12	0	227	234	 Out
7.5BG	8	14	0	230	238	 Out
7.5BG	8	16	0	234	242	 Out
10.0BG	8	2	183	204	215	 In
10.0BG	8	4	157	209	222	 In
10.0BG	8	6	125	214	228	 In
10.0BG	8	8	82	218	235	 In
10.0BG	8	10	0	222	242	 Out
10.0BG	8	12	0	226	249	 Out
10.0BG	8	14	0	230	255	 Out
2.5B	8	2	185	203	217	 In
2.5B	8	4	158	208	226	 In
2.5B	8	6	127	213	235	 In
2.5B	8	8	84	217	245	 In
2.5B	8	10	0	221	255	 Out
2.5B	8	12	0	225	255	 Out
5.0B	8	2	188	202	218	 In
5.0B	8	4	163	207	230	 In
5.0B	8	6	135	210	243	 In
5.0B	8	8	92	214	255	 Out
7.5B	8	2	190	201	219	 In
7.5B	8	4	168	205	233	 In
7.5B	8	6	143	209	247	 In
7.5B	8	8	106	212	255	 Out
10.0B	8	2	193	200	220	 In
10.0B	8	4	175	203	235	 In
10.0B	8	6	154	206	250	 In
10.0B	8	8	124	209	255	 Out
2.5PB	8	2	196	199	220	 In
2.5PB	8	4	182	201	236	 In
2.5PB	8	6	166	203	253	 In
5.0PB	8	2	198	199	220	 In
5.0PB	8	4	189	200	236	 In
5.0PB	8	6	177	200	254	 In
7.5PB	8	2	202	198	220	 In
7.5PB	8	4	197	197	236	 In
7.5PB	8	6	191	197	254	 In
10.0PB	8	2	204	197	219	 In
10.0PB	8	4	203	196	234	 In
10.0PB	8	6	202	194	251	 In
10.0PB	8	8	202	191	255	 Out
2.5P	8	2	206	196	218	 In
2.5P	8	4	209	194	233	 In
2.5P	8	6	211	191	248	 In
2.5P	8	8	214	188	255	 Out
5.0P	8	2	208	196	217	 In
5.0P	8	4	213	193	230	 In
5.0P	8	6	218	189	243	 In
5.0P	8	8	225	185	255	 Out
5.0P	8	10	231	180	255	 Out
7.5P	8	2	211	195	215	 In
7.5P	8	4	221	191	225	 In
7.5P	8	6	229	187	234	 In
7.5P	8	8	240	181	245	 In
7.5P	8	10	249	175	255	 In
7.5P	8	12	255	169	255	 Out
10.0P	8	2	212	195	213	 In
10.0P	8	4	224	190	220	 In
10.0P	8	6	236	185	228	 In
10.0P	8	8	248	178	236	 In
10.0P	8	10	255	172	244	 Out
10.0P	8	12	255	165	252	 Out
10.0P	8	14	255	156	255	 Out
2.5RP	8	2	214	195	211	 In
2.5RP	8	4	228	189	216	 In
2.5RP	8	6	242	183	220	 In
2.5RP	8	8	255	176	225	 Out
2.5RP	8	10	255	169	230	 Out
2.5RP	8	12	255	161	236	 Out
2.5RP	8	14	255	151	241	 Out
5.0RP	8	2	215	195	209	 In
5.0RP	8	4	231	189	210	 In
5.0RP	8	6	247	182	212	 In
5.0RP	8	8	255	174	213	 Out
5.0RP	8	10	255	167	215	 Out
5.0RP	8	12	255	157	217	 Out
7.5RP	8	2	216	194	208	 In
7.5RP	8	4	233	188	206	 In
7.5RP	8	6	250	181	205	 In
7.5RP	8	8	255	174	204	 Out
7.5RP	8	10	255	166	204	 Out
7.5RP	8	12	255	155	203	 Out
10.0RP	9	2	244	221	234	 In
10.0RP	9	4	255	214	229	 Out
10.0RP	9	6	255	206	225	 Out
2.5R	9	2	245	221	233	 In
2.5R	9	4	255	214	225	 Out
2.5R	9	6	255	206	218	 Out
5.0R	9	2	246	221	231	 In
5.0R	9	4	255	214	220	 Out
5.0R	9	6	255	206	210	 Out
7.5R	9	2	247	221	229	 In
7.5R	9	4	255	214	214	 Out
7.5R	9	6	255	207	201	 Out
10.0R	9	2	248	221	226	 In
10.0R	9	4	255	214	208	 Out
10.0R	9	6	255	208	192	 Out
2.5YR	9	2	249	221	223	 In
2.5YR	9	4	255	215	202	 Out
2.5YR	9	6	255	210	182	 Out
5.0YR	9	2	249	221	218	 In
5.0YR	9	4	255	217	195	 Out
5.0YR	9	6	255	212	174	 Out
7.5YR	9	2	249	222	213	 In
7.5YR	9	4	255	218	189	 Out
7.5YR	9	6	255	215	166	 Out
7.5YR	9	8	255	212	143	 Out
10.0YR	9	2	247	223	209	 In
10.0YR	9	4	255	221	183	 Out
10.0YR	9	6	255	219	159	 Out
10.0YR	9	8	255	216	133	 Out
2.5Y	9	2	244	224	207	 In
2.5Y	9	4	254	223	179	 In
2.5Y	9	6	255	222	153	 Out
2.5Y	9	8	255	220	126	 Out
2.5Y	9	10	255	219	98	 Out
2.5Y	9	12	255	218	63	 Out
5.0Y	9	2	241	225	205	 In
5.0Y	9	4	248	225	177	 In
5.0Y	9	6	253	225	149	 In
5.0Y	9	8	255	225	119	 Out
5.0Y	9	10	255	225	89	 Out
5.0Y	9	12	255	224	45	 Out
5.0Y	9	14	255	224	0	 Out
5.0Y	9	16	255	223	0	 Out
5.0Y	9	18	255	223	0	 Out
5.0Y	9	20	255	223	0	 Out
7.5Y	9	2	239	226	204	 In
7.5Y	9	4	243	227	176	 In
7.5Y	9	6	247	227	147	 In
7.5Y	9	8	251	228	117	 In
7.5Y	9	10	254	228	85	 In
7.5Y	9	12	255	228	36	 Out
7.5Y	9	14	255	228	0	 Out
7.5Y	9	16	255	228	0	 Out
7.5Y	9	18	255	228	0	 Out
10.0Y	9	2	236	227	204	 In
10.0Y	9	4	239	228	175	 In
10.0Y	9	6	241	229	147	 In
10.0Y	9	8	243	230	116	 In
10.0Y	9	10	245	231	83	 In
10.0Y	9	12	246	231	32	 In
10.0Y	9	14	247	232	0	 Out
10.0Y	9	16	247	232	0	 Out
10.0Y	9	18	248	232	0	 Out
2.5GY	9	2	233	228	204	 In
2.5GY	9	4	233	230	177	 In
2.5GY	9	6	233	232	149	 In
2.5GY	9	8	232	234	119	 In
2.5GY	9	10	231	235	87	 In
2.5GY	9	12	230	236	37	 In
2.5GY	9	14	229	237	0	 Out
2.5GY	9	16	229	238	0	 Out
2.5GY	9	18	229	238	0	 Out
5.0GY	9	2	230	229	206	 In
5.0GY	9	4	227	232	179	 In
5.0GY	9	6	224	234	153	 In
5.0GY	9	8	220	237	125	 In
5.0GY	9	10	216	239	95	 In
5.0GY	9	12	212	241	55	 In
5.0GY	9	14	209	242	0	 Out
5.0GY	9	16	206	244	0	 Out
5.0GY	9	18	204	244	0	 Out
7.5GY	9	2	223	230	211	 In
7.5GY	9	4	214	234	189	 In
7.5GY	9	6	206	238	166	 In
7.5GY	9	8	197	242	144	 In
7.5GY	9	10	188	245	119	 In
7.5GY	9	12	179	247	92	 In
7.5GY	9	14	169	250	57	 In
7.5GY	9	16	159	252	0	 Out
7.5GY	9	18	150	254	0	 Out
10.0GY	9	2	217	231	216	 In
10.0GY	9	4	204	236	199	 In
10.0GY	9	6	189	241	180	 In
10.0GY	9	8	176	245	164	 In
10.0GY	9	10	160	249	145	 In
10.0GY	9	12	144	252	128	 In
10.0GY	9	14	124	255	108	 In
10.0GY	9	16	99	255	84	 Out
10.0GY	9	18	64	255	55	 Out
2.5G	9	2	212	232	222	 In
2.5G	9	4	195	237	210	 In
2.5G	9	6	174	243	196	 In
2.5G	9	8	154	247	185	 In
2.5G	9	10	130	251	173	 In
2.5G	9	12	102	255	163	 In
2.5G	9	14	56	255	151	 Out
2.5G	9	16	0	255	140	 Out
5.0G	9	2	210	232	226	 In
5.0G	9	4	189	238	218	 In
5.0G	9	6	163	244	209	 In
5.0G	9	8	137	249	203	 In
5.0G	9	10	105	253	197	 In
5.0G	9	12	46	255	191	 Out
7.5G	9	2	208	232	229	 In
7.5G	9	4	186	238	223	 In
7.5G	9	6	158	244	217	 In
7.5G	9	8	128	249	212	 In
7.5G	9	10	92	253	208	 In
7.5G	9	12	0	255	204	 Out
10.0G	9	2	208	232	232	 In
10.0G	9	4	183	238	228	 In
10.0G	9	6	154	244	225	 In
10.0G	9	8	120	249	222	 In
10.0G	9	10	77	253	220	 In
10.0G	9	12	0	255	218	 Out
2.5BG	9	2	207	232	234	 In
2.5BG	9	4	182	238	233	 In
2.5BG	9	6	150	244	232	 In
2.5BG	9	8	113	249	231	 In
2.5BG	9	10	61	253	231	 In
5.0BG	9	2	207	232	237	 In
5.0BG	9	4	180	238	238	 In
5.0BG	9	6	147	244	240	 In
5.0BG	9	8	105	249	241	 In
5.0BG	9	10	37	253	243	 In
7.5BG	9	2	207	231	241	 In
7.5BG	9	4	179	238	245	 In
7.5BG	9	6	145	243	249	 In
7.5BG	9	8	97	248	254	 In
7.5BG	9	10	0	252	255	 Out
10.0BG	9	2	209	231	243	 In
10.0BG	9	4	180	237	250	 In
10.0BG	9	6	144	242	255	 Out
2.5B	9	2	211	230	245	 In
2.5B	9	4	181	236	255	 Out
5.0B	9	2	214	229	247	 In
5.0B	9	4	185	235	255	 Out
7.5B	9	2	217	228	247	 In
7.5B	9	4	191	233	255	 Out
10.0B	9	2	220	227	248	 In
10.0B	9	4	197	231	255	 Out
2.5PB	9	2	224	226	248	 In
5.0PB	9	2	226	225	248	 In
7.5PB	9	2	229	225	248	 In
10.0PB	9	2	232	224	247	 In
10.0PB	9	4	230	222	255	 Out
2.5P	9	2	234	223	247	 In
2.5P	9	4	236	221	255	 Out
5.0P	9	2	235	223	245	 In
5.0P	9	4	241	219	255	 Out
7.5P	9	2	238	222	243	 In
7.5P	9	4	250	217	254	 In
7.5P	9	6	255	212	255	 Out
10.0P	9	2	240	222	241	 In
10.0P	9	4	254	216	249	 In
10.0P	9	6	255	210	255	 Out
2.5RP	9	2	241	222	239	 In
2.5RP	9	4	255	216	244	 Out
2.5RP	9	6	255	209	249	 Out
5.0RP	9	2	243	221	238	 In
5.0RP	9	4	255	215	238	 Out
5.0RP	9	6	255	207	240	 Out
7.5RP	9	2	244	221	236	 In
7.5RP	9	4	255	214	234	 Out
7.5RP	9	6	255	207	232	 Out
N	0	0	0	0	0	 In
N	1	0	30	28	30	 In
N	2	0	51	49	52	 In
N	3	0	74	71	75	 In
N	4	0	99	95	101	 In
N	5	0	125	121	127	 In
N	6	0	151	146	154	 In
N	7	0	178	172	181	 In
N	8	0	205	198	209	 In
N	9	0	232	225	237	 In
N	10	0	255	253	255	 Out
