Description:
Draft: This file expresses Munsell colours in the sRGB system.  The first
three columns are the Munsell hue (H), value (V), and chroma (C).  An entry
of -99 in the chroma column indicates that the colour is an achromatic grey.  The next
three columns are the R, G, and B coordinates in the sRGB system.  The final
column lists whether the Munsell colour is in the sRGB gamut, or out of it.
1221 of the 2745 Munsell colours are outside the sRGB gamut, meaning that they
cannot be reproduced in the sRGB system. The 2745 Munsell colours were taken
from the Munsell renotation (Newhall1943).

[Newhall1943] S. M. Newhall, D. Nickerson, & D. B. Judd, "Final
        Report of the O.S.A. Subcommittee on the Spacing of the Munsell
        Colors," Journal of the Optical Society of America, Vol. 33,
        Issue 7, pp. 385-418, 1943.

DESCRIPTION ENDS HERE
  H	V	C	 R	 G	 B	Gamut
5.0PB	2	10	0	48	119	 Out
5.0PB	2	12	0	47	132	 Out
5.0PB	2	14	0	45	146	 Out
7.5PB	2	2	48	48	66	 In
7.5PB	2	4	45	46	79	 In
7.5PB	2	6	42	45	91	 In
7.5PB	2	8	39	42	104	 In
7.5PB	2	10	37	39	116	 In
7.5PB	2	12	37	35	126	 In
7.5PB	2	14	39	30	136	 In
7.5PB	2	16	41	22	145	 In
7.5PB	2	18	44	8	155	 In
7.5PB	2	20	48	0	164	 Out
7.5PB	2	22	51	0	174	 Out
7.5PB	2	24	55	0	182	 Out
7.5PB	2	26	59	0	190	 Out
7.5PB	2	28	62	0	198	 Out
7.5PB	2	30	66	0	208	 Out
7.5PB	2	32	70	0	217	 Out
7.5PB	2	34	74	0	227	 Out
7.5PB	2	36	79	0	237	 Out
7.5PB	2	38	83	0	248	 Out
10.0PB	2	2	52	46	66	 In
10.0PB	2	4	53	44	77	 In
10.0PB	2	6	54	41	88	 In
10.0PB	2	8	56	38	99	 In
10.0PB	2	10	59	33	110	 In
10.0PB	2	12	62	27	118	 In
10.0PB	2	14	65	17	128	 In
10.0PB	2	16	69	2	137	 In
10.0PB	2	18	73	0	146	 Out
10.0PB	2	20	77	0	155	 Out
10.0PB	2	22	82	0	164	 Out
10.0PB	2	24	86	0	173	 Out
10.0PB	2	26	91	0	182	 Out
10.0PB	2	28	95	0	191	 Out
10.0PB	2	30	101	0	202	 Out
10.0PB	2	32	107	0	212	 Out
10.0PB	2	34	112	0	222	 Out
2.5P	2	2	55	46	65	 In
2.5P	2	4	58	43	75	 In
2.5P	2	6	62	39	84	 In
2.5P	2	8	67	34	94	 In
2.5P	2	10	71	27	103	 In
2.5P	2	12	76	17	112	 In
2.5P	2	14	80	1	120	 In
2.5P	2	16	85	0	129	 Out
2.5P	2	18	90	0	137	 Out
2.5P	2	20	95	0	146	 Out
2.5P	2	22	100	0	155	 Out
2.5P	2	24	106	0	164	 Out
2.5P	2	26	111	0	173	 Out
2.5P	2	28	118	0	184	 Out
2.5P	2	30	126	0	196	 Out
5.0P	2	2	57	45	64	 In
5.0P	2	4	62	41	73	 In
5.0P	2	6	67	37	80	 In
5.0P	2	8	73	30	90	 In
5.0P	2	10	78	22	98	 In
5.0P	2	12	84	8	106	 In
5.0P	2	14	90	0	115	 Out
5.0P	2	16	95	0	122	 Out
5.0P	2	18	100	0	130	 Out
5.0P	2	20	106	0	138	 Out
5.0P	2	22	112	0	146	 Out
5.0P	2	24	118	0	155	 Out
5.0P	2	26	126	0	165	 Out
5.0P	2	28	133	0	175	 Out
7.5P	2	2	59	44	62	 In
7.5P	2	4	65	40	70	 In
7.5P	2	6	71	35	77	 In
7.5P	2	8	78	28	86	 In
7.5P	2	10	84	17	93	 In
7.5P	2	12	90	0	101	 Out
7.5P	2	14	96	0	108	 Out
7.5P	2	16	102	0	116	 Out
7.5P	2	18	108	0	123	 Out
7.5P	2	20	114	0	130	 Out
7.5P	2	22	121	0	139	 Out
7.5P	2	24	128	0	146	 Out
